Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Mar 19, 2019",IT Summer Interview,"Anonymous Employee in Pitts, PA",Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 3 weeks. I interviewed at Ford Motor Company (Pitts, PA) in October 2018.",You have to pass an online aptitude test to be eligible to interview. It's a set of multiple choice questions based on statistics and English. One phone screen and one panel interview. The panel interview was both technical and behavioral. They respond quickly.,"Given $1 million, where would you invest it to make Ford better? Â  Answer Question"
"Mar 5, 2019",Information Technology Interview,"Anonymous Employee in Atlanta, GA",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Ford Motor Company (Atlanta, GA).","First part of the interview was an online test, the second part of the process was a behavioral interview. I got along great with my interviewer and had a good interview process.",Generic questions about how I work within a workplace setting. Â  1 Answer
"Feb 25, 2019",Management Accountant Interview,Anonymous Interview Candidate,Declined Offer,Neutral Experience,Difficult Interview,I applied online. I interviewed at Ford Motor Company.,"In depth assessment centre with a number of other candidates; including interviews, mock meetings, group projects, and reasoning assessments. Around 15 other candidates were at the day, meeting for breaks and lunch. Most contact was with the hiring managers and HR as you would expect.","Name a time something has not gone to plan, and how you overcame the obstacle. Â  1 Answer"
"Feb 20, 2019",Analyst Interview,Anonymous Employee in New Delhi (India),Accepted Offer,Positive Experience,Easy Interview,I applied through an employee referral. I interviewed at Ford Motor Company (New Delhi (India)) in April 2015.,Simple interview process with a senior leaders and casual talk about likes and dislikes related to work atmosphere and previous work experience. Very well treated at the interview and not very rigorous interview. Huge credibility placed on educational background and the previous employer and not much technical questions asked related to work profile.,Why did you leave your previous employer? Â  Answer Question
"Feb 20, 2019",Senior Software Engineer/Tech Lead Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Average Interview,I applied through other source. I interviewed at Ford Motor Company (Chennai (India)).,I applied online. The process took 1 day. I interviewed at Ford Motor Company.,N/A. Simple half hour going over resume. Â  1 Answer
"Feb 19, 2019",EstagiÃ¡rio Superior Interview,"Anonymous Employee in CamaÃ§ari, Bahia (Brazil)",Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 3+ months. I interviewed at Ford Motor Company (CamaÃ§ari, Bahia (Brazil)).","PadrÃ£o, tivemos uma etapa de testes online de inglÃªs, com um nÃ­vel de dificuldade moderado, teste de raciocÃ­nio lÃ³gico e apÃ³s uma dinÃ¢mica de grupo, mas com um grupo de 4 pessoas e avaliando estavam 2 engenheiros e 1 supervisor.","Na entrevista foi perguntado muito da vida quais as experiÃªncias, os motivos de estar querendo ter aquela oportunidade e o que tinha feito na empresa jr, hobbies etc. Â  1 Answer"
"Feb 18, 2019",Intern Interview,Anonymous Employee,Accepted Offer,Positive Experience,,"This first step of the interview process is having you take multiple tests that review reading and math skills. Once you pass those, they review your resume and cover letter. If they still want to continue to process, the next round is a 1 on 1 interview.",,How would you deal with a group conflict at the work place? Â  Answer Question
"Feb 18, 2019",Software Engineer Interview,Anonymous Interview Candidate in Warangal (India),No Offer,Neutral Experience,Easy Interview,I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Warangal (India)).,"The Selection Process is
1)online test
2)personal interview
**ONLINE TEST**
first round is technical round in which there are about 4 sections,1st section is general aptitude of about 20 questions, 2,3,4 sections are pure software questions. these software questions include questions from RDBMS, SDLC, C++, JAVA, SOFTWARE TESTING and some other computer science related questions. IF u are from non-cse background u might feel difficult to answer these questions. PREPARE WELL ON ABOVE MENTIONED TOPICS.
after the online test, the shortlisted candidates are allowed to write a psychometric test which consists of 104 questions .there are no right answers and wrong answers in this round.all the questions are general questions with options of most preferred and least preferred in each question. this round determines how u react to certain situations.
some time they select all candidates from this test. if ur performance is too bad they may reject u in this test. This is also an online test with no Time limit, but it's better to finish the test as fast as possible.
Next, they will announce the shortlisted candidates for the interview.
***INTERVIEW***
THE SHORTLISTED candidates will be interviewed for about 20 to 30 min each .all the questions will be mostly HR type, there will be some technical questions based on your resume.mosty they ask questions from your resume.",what is meant by data structure? Â  Answer Question
"Feb 17, 2019",Analista De CrÃ©dito Interview,Anonymous Employee in Ciudad de MÃ©xico (Mexico),Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2+ weeks. I interviewed at Ford Motor Company (Ciudad de MÃ©xico (Mexico)).,"Lo adecuado, estudio socioeconÃ³mico, estudio mÃ©dico, entrevistas con RH Y Gerencia del departamento Ãºnicamente, todo me llevo 20 dÃ­as aproximadamente",AquÃ­ los horarios son variables estÃ¡s dispuesta ? Â  1 Answer
"Feb 16, 2019",Machine Operator Interview,"Anonymous Employee in Oakville, ON (Canada)",Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 5 days. I interviewed at Ford Motor Company (Oakville, ON (Canada)) in June 2017.",1:1 for about an hour. referenced resume and past jobs. they asked me about my strengths and weaknesses in other jobs and my reliability from past jobs. asked about previous experience from other manual labour working jobs.,strengths Â  1 Answer
"Feb 15, 2019",Engenheiro De Qualidade Pleno Interview,"Anonymous Employee in CamaÃ§ari, Bahia (Brazil)",Accepted Offer,Positive Experience,Difficult Interview,"I applied through a staffing agency. I interviewed at Ford Motor Company (CamaÃ§ari, Bahia (Brazil)).","Na primeira vez, fui vitima de Nepotismo descarado!! escolheram uma pessoa sem experiencia, e sem formaÃ§Ã£o.. isso mesmo sem formaÃ§Ã£o!! pq era amiga de um executivo!! mas da segunda vez foi um processo justo!!!","A pergunta mais dificil , foi, o que vc faria se algo muito importante acontecesse e vc tivesse que tomar uma decisÃ£o que afetrai a mim? Â  1 Answer"
"Feb 14, 2019",Senior Software Engineer Interview,"Anonymous Employee in Ann Arbor, MI",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3+ months. I interviewed at Ford Motor Company (Ann Arbor, MI) in March 2018.","Phone interview then in-person interview. This is where you have to answer a programming question with in one hour.
The in-person interview consists of working as a developer there for one day. During the day there is two sessions each with a different person. In each session you do pair programming with another the person who is doing the interviewing. All and all it was a very relaxed process.",What would you do next in relationship to solving a problem. Â  Answer Question
"Feb 14, 2019",Software Engineer Interview,"Anonymous Interview Candidate in Sunrise, FL",No Offer,Positive Experience,Average Interview,"I applied online. The process took 5 weeks. I interviewed at Ford Motor Company (Sunrise, FL) in January 2019.","Overall the interview process was good, they are very organized, timely, professional, and friendly. The following is my experience,

The interview process is divided into three phases:
1. A screening phone interview
2. A second phone interview with staff
3. An on-site panel interview

(1) In the phone screen you'll be asked factual questions like years of experience, background, GPA, expected salary, and so forth. Most importantly, you'll be asked about what experience you have pertaining to the position. Be prepared to mention specific projects, tools, and methods you used.

(2) Following a positive phone screen, you may be scheduled for another phone interview within a week or two; this time with a hiring manager and a technical engineer.
All points in your resume may be covered, so be ready to describe each one intelligently (I suggest using the S.T.A.R. method). You will also be asked general questions about you, your career, job positions, and, near the end, if you have any questions for them.

(3) Following a positive phone interview, you may be scheduled for an on-site interview within a week or two; the hiring manager will be there along with several engineers.
The interview is 2-3 hours long, with about 20+ multi-part questions, each one taking a turn in asking you a question. The first half consists of behavioral questions and the second half technical questions pertaining to the role.
Be prepared to talk about several unique projects and examples from your experience. Keep your answers brief, precise, relevant, and honest. Conveniently, each sub-part of each question seems to align with the STAR method of responding.
(4) From here their final decision will follow within a few weeks.

Best wishes on your interview!",Why Ford? Â  Answer Question
"Feb 13, 2019",Manufacturing Process Engineer Interview,"Anonymous Interview Candidate in Chicago, IL",No Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 1 day. I interviewed at Ford Motor Company (Chicago, IL) in January 2015.","Sat down with a group of senior employees and managers. A basic Q&A regarding case by case scenarios. The job worked in between several departments, so there were multiple people in the interview.",Steps that one would take in resolving product quality issues and communicating in between multiple production facilities. Â  Answer Question
"Feb 11, 2019",Product Development Engineer Interview,"Anonymous Employee in Oakville, ON (Canada)",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Ford Motor Company (Oakville, ON (Canada)) in August 2017.",One quick phone call interview followed by a second face-to-face interview with direct supervisor. All communications were directly through HR and not through direct supervisor. Got the call 1 week before the actual 1:1 interview with supervisor.,Describe a time you've had conflict with a previous coworker and tell me what you did in order to overcome it and come up with a solution? Â  Answer Question
"Feb 9, 2019",Graduate Software Engineer Interview,"Anonymous Interview Candidate in London, England (UK)",No Offer,Negative Experience,Easy Interview,"The process took 4+ weeks. I interviewed at Ford Motor Company (London, England (UK)) in January 2019.","Application
Phone interview
2 online tests
Assessment centre (group exercise, role play, interview, software test)

It was all very easy, however a huge problem with the assessment centre:

The software test was very simple, too simple and it counted for nothing.
The role play was rather uncomfortable as you had to read around 10 sheets of information in 15 minutes and then had to act as an employee convincing another employee (actor) of going along with a business proposition. I'm a great software engineer, but NOT a good actor and kept breaking character.
The group exercise has its faults as there will be 1 or 2 people who dominate the conversation. Thats not actually meant to be a good thing, but I'd bet my house that the guy who dominated my group exercise got hired. It was all box ticking and unfortunately no human element was involved.

TLDR; speak the most and loudest in group exercise, be good at acting and be able to retain opious amounts of information. Doesn't matter how good of a software engineer you are at all, you could of literally pretended to be one and still got the job.","Questions were situational, competency based, team work, etc Â  Answer Question"
"Feb 9, 2019",Graduate Interview,Anonymous Interview Candidate in Melbourne (Australia),No Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at Ford Motor Company (Melbourne (Australia)) in July 2018.,Basic online testing and online video interview. Half a day group interview where you must present to the assessors and/or the whole group. One on one interview for an hour at their head office.,What were your favourite university subjects and how would you apply them to Ford? Â  Answer Question
"Feb 8, 2019",Inspetor De Qualidade Pleno Interview,"Anonymous Employee in CamaÃ§ari, Bahia (Brazil)",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 days. I interviewed at Ford Motor Company (CamaÃ§ari, Bahia (Brazil)).","muito bom e dinamico, teve um otimo grau seletividade, onde podemos ver um pouco de como funciona a empresa na pratica sem precisar entrar dentro da planta.",porque a laranja se chama laranja? a fruta deu o nome pra cor ou foi a cor que deu o nome pra fruta? Â  1 Answer
"Feb 7, 2019",Virtualization Software Engineer Interview,"Anonymous Interview Candidate in Dearborn, MI",Declined Offer,Neutral Experience,Average Interview,"I applied online. The process took 2 days. I interviewed at Ford Motor Company (Dearborn, MI) in February 2019.","I just got one phone call interview. Hope I can pass and get the next one maybe onsite, and the location is in Dearborn.
I just got one phone call interview. Hope I can pass and get the next one maybe onsite, and the location is in Dearborn.
I just got one phone call interview. Hope I can pass and get the next one maybe onsite, and the location is in Dearborn.",What main qualifications do you possess that will most directly help you be successful in this position and at Ford Motor Company? Â  1 Answer
"Feb 5, 2019",Assembly Line Worker Interview,Anonymous Employee,Accepted Offer,Negative Experience,Easy Interview,I applied through an employee referral. The process took 3 weeks. I interviewed at Ford Motor Company in January 2016.,There wasn't a interview required only a 7 hour test on basic math language and dexterity test was required while in a facility with a group of at least 100 to 200 people.,Why do you want to work here Â  1 Answer
"Feb 4, 2019",TÃ©cnico Administrativo Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Difficult Interview,I applied through an employee referral. The process took 1 day. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,"PrÃ¡tico com prova de
InglÃªs e conversa com supervisÃ£o e gestao, todos claros e objetivos, admissao rÃ¡pida e sem burocracia Departamento pessoal muito Ã¡gil",Possui inglÃªs ? EstÃ¡ cursando superior ? Qual sua pretenÃ§Ã£o salarial Â  Answer Question
"Feb 2, 2019",Graduate Program Interview,"Anonymous Interview Candidate in Dearborn, MI",Declined Offer,Neutral Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company (Dearborn, MI) in November 2018.","Went to a job fair and had an initial interview, got an email to move forward, they flew me out for all day interviews. It was an in person interview with at least two people, very dry, didn't smile much. It was at least a three hour interview but after 15 minutes in, I was ready to go. The interviewers looked as if they didn't want to be there. One of the interviewers was going red and sweating immensely.","Given a problem of XYZ, how would you design a solution? (Tech based) Â  Answer Question"
"Jan 31, 2019",Parts Interview,"Anonymous Employee in Spirit Lake, IA",Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. The process took 1 day. I interviewed at Ford Motor Company (Spirit Lake, IA) in September 2016.","Hired on the spot after interview...asked normal questions that are required for hiring. We discussed salary, benefits, vacation and everything was very easy and to the point. This part requires 30 words so I am rambling on to complete this assessment for a future employee","When can you start? asked normal questions that are required for hiring. We discussed salary, benefits, vacation and everything was very easy and to the point.This part requires 30 words so I am rambling on to complete this assessment for a future employee Â  1 Answer"
"Jan 30, 2019",MS&S Zone Manager (Field) - Ford College Graduate Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Difficult Interview,"I applied through college or university. The process took 4+ months. I interviewed at Ford Motor Company (Dearborn, MI).","Campus recruited and applied online. After they reviewed my application, I received an email asking to complete 3 skills test in order to get an interview. After passing test I went to first interview on campus. Then received invitation for final interview in Dearborn. They interview was about 3 hours long and there were two parts. The first part was a classic 2:1, the second was role playing with a difficult dealer.",Look at this chart and tell me what you notice Â  Answer Question
"Jan 24, 2019",Software Engineer Interview,Anonymous Employee in Pune (India),Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Ford Motor Company (Pune (India)) in October 2015.,"Interview process very quick and easy. There a technical aptitude ,Group discussion , followed by technical and HR round. Questions asked in the interview were not very challenging. The offer was rolled out at the end of the day. Transparent and quick process.",Palindrome of a string Â  Answer Question
"Jan 17, 2019",Auxiliar De Montagem Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. I interviewed at Ford Motor Company.,"Processo bem extenso, prova, DinÃ¢mica, entrevista e exame mÃ©dico.
Prova PortuguÃªs e matemÃ¡tica, dinÃ¢mica em grupo, e entrevista com o.responsavel da area",VocÃª se ve trabalhando em uma linha de montagem Â  1 Answer
"Jan 16, 2019",Fresher Interview,Anonymous Interview Candidate in Chennai (India),Declined Offer,Neutral Experience,Average Interview,I applied through other source. The process took 1 day. I interviewed at Ford Motor Company (Chennai (India)) in December 2018.,"They first settled everyone in company basement for one to two hour and conducted 40 minutes Aptitude test which had of 30 - 40 question with quantity, english and coding.",technical questions Â  1 Answer
"Jan 14, 2019",Advanced Driver Assistance Systems and Controls Systems Testing Dev Interview,Anonymous Employee,Accepted Offer,Positive Experience,Difficult Interview,I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company in October 2018.,The interview process was simple and easy. Had an onsite interview. They had brought in a bundle of papers on which they had questions and noted down my answers. The interview was divided into 2 parts technical and general behavioral questions. They asked me question based on my resume.,"Few interview questions -
1) Tell me about a time based on your resume projects when you implemented a different/ unique approach.
2) Tell me about a time you had limited resources to complete a project.
3) Tell me about a time you went above and beyond your call of duty. Â  Answer Question"
"Jan 10, 2019",Product Development Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at Ford Motor Company (Dearborn, MI).","There is a standardized book/log of questions and procedures they will follow for the interview. The interviewer will grade your answers based on a scale. Most of the questions are behavioral, but they will ask some questions that require some technical depth and knowledge. They will not ask about specific parts of a vehicle or specific technical questions (e.g. what grade of steel would you use in this situation), but they want to know that you have some technical aptitude to think critically about the science and engineering behind automobiles and mobility (e.g. what are some aspects of engineering that you can bring to Ford?).",Name a time you used a creative solution to a problem Â  Answer Question
"Jan 3, 2019",IT Developer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,Two web interview sessions. Hiring was through a consultancy and hence did not get to negotiate salary. Was asked about my prior experience with MATLAB FORTRAN and few other technologies.,,What is your experience with MATLAB and FORTRAN Â  Answer Question
"Dec 27, 2018",Process Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (Dearborn, MI).",Received a call from HR recruitment requesting to set up an in person interview approximately 1 month after applying for jobs. One interview with large group of managers. Interview was pleasant and professional. I got the impression they already careful reviewed my resume and wanted to verify I was the right person. All the people were prepared and familiar with my resume. Four weeks later got a call with offer.,Why do you want to work at Ford Motor Company Â  Answer Question
"Dec 26, 2018",Specialist Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,Come in with a good attitude and you're hired. Come in with a good attitude and you're hired. Come in with a good attitude and you're hired. Come in with a good attitude and you're hired. Come in with a good attitude and you're hired.,,How much money do you need? Â  Answer Question
"Dec 20, 2018",IT Summer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company.,"I was recruited at a college career fair in the fall, went out to dinner with Ford recruiters, and then got interviewed. During your interview, know your One Ford Values!!!",Asked many behavioral questions Â  Answer Question
"Dec 14, 2018",Software Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through other source. I interviewed at Ford Motor Company in December 2018.,"It was a walk-in in their Perungudi Building. Nearly 750+ candidates would have appared. They were splitted into 5-6 batches based on the timing they came in. In Each batch nearly 150 - 200 candidates were made to write the First Round, which was Paper & Pen

First Round :
1) Aptitude 10 ques 2)English 10 ques 3) Technical - 15 ques (mostly from c)

Based on Some Criteria They selected only 6 from my batch. I cleared that round.

2) Second Round :
Â Â Â Â Â Technical HR - 2 persons were there, 1 person was asking questions in and out from my resume and another person was monitoring my way of speaking and mannerism. It almost went for 25minutes

After two days they sent me the confirmation Mail.",1. Questions mostly from your Resume Â  1 Answer
"Dec 9, 2018",Product Development Engineer Interview,Anonymous Employee in Cologne (Germany),Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 6 weeks. I interviewed at Ford Motor Company (Cologne (Germany)) in March 2015.,Humn Resource Departmen called and asked a question about my current job title. After that asked a question about travelling the abroad frequently and which software I used for CAD.,What is your greatest weakness? Â  Answer Question
"Dec 8, 2018",Software Engineer(Internship) Interview,"Anonymous Employee in Ottawa, ON (Canada)",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Ottawa, ON (Canada)) in November 2018.","Half-hour phone call going over programming skills and familiarity with object-oriented concepts. Received a brief explanation on the position. Went over previous work experiences and projects as well. Overall, a well organized and very well at asking questions highly relevant to the position.",Do you have any experience working with multi-threading? Â  Answer Question
"Dec 8, 2018",Manufacturing Interview,"Anonymous Employee in Montgomery, AL",Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. The process took 1 day. I interviewed at Ford Motor Company (Montgomery, AL) in November 2018.","Very simple with the normal behavior questions. Utilize the STAR method and try to relate it to engineering experience you have had, preferably in a team environment since that is what they are looking for.",What would you do if you were in charge and a machine broke down? Â  1 Answer
"Dec 2, 2018",Recepcionista Interview,"Anonymous Interview Candidate in SÃ£o Paulo, SÃ£o Paulo (Brazil)",No Offer,Positive Experience,Easy Interview,"I applied through an employee referral. The process took 2+ months. I interviewed at Ford Motor Company (SÃ£o Paulo, SÃ£o Paulo (Brazil)).",Achei o processo rÃ¡pido e bem transparente. Fora atenciosos e fizeram perguntas prÃ¡ticas. Falaram o que buscavam na empresa e pediam que eu comentasse sobre,Falar sobre uma situaÃ§Ã£o difÃ­cil que enfrentou e solucionou Â  1 Answer
"Nov 29, 2018",Software Engineer(Internship) Interview,Anonymous Employee,Accepted Offer,Positive Experience,,"It was pretty straight-forward. They asked about 4-5 questions and it was technical, but no coding involved. It was two parts with one being behavioral and the order technical. It was over the phone by the way and there were 3 people on the call.",,"Say you were in a team and you submitted a project when the deadline arrived. After that deadline, one of your teammates said they did not fix a bug in the product. What would you do? Â  4 Answers"
"Nov 28, 2018",Production Worker Interview,Anonymous Employee,Accepted Offer,Neutral Experience,Easy Interview,I applied online. The process took 6 weeks. I interviewed at Ford Motor Company.,actually a group test if multiple things. Written test as well as physical testing to judge speed and common sense . Pass/fail in the end . They either call to offer drug test or send written notice that you failed.,"Math, common sense questions Â  Answer Question"
"Nov 28, 2018",Graduate Scheme Interview,"Anonymous Interview Candidate in London, England (UK)",No Offer,Negative Experience,Easy Interview,"I applied online. The process took 4+ months. I interviewed at Ford Motor Company (London, England (UK)) in April 2015.","Was asked pretty much exactly the same competency based questions at every stage of the process (initial online application, telephone interview, assessment centre interview). Very little opportunity to talk about anything else during the interview;. It appeared to be a box checking exercise for the interviewer, so everyone gets the same questions, with no further questions asked.",Tell me about a time when... Â  Answer Question
"Nov 25, 2018",Ford College Graduate Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 6 weeks. I interviewed at Ford Motor Company (Dearborn, MI) in October 2018.","Applied on their website at the end of September. Got an automated math/English test to do. Then got sent a coding challenge, pretty easy. Got a call a few days later to set up an interview, 2 on 1, only behavioral. Got another call a few days later to say I was moving onto an onsite interview.

They flew me out to Michigan for the interview. Again, 2 on 1 for 2 sessions, 45 minutes each. First was a technical interview, but asked in a behavioral question kind of way. Then a normal behavioral interview. Interviewers were nice and answered all of my questions at the end. They said it would take around 2-3 weeks to hear from them, but I heard back within 4 days with an offer.",What is your favorite language? Why Ford? Â  Answer Question
"Nov 19, 2018",Zone Manager Interview,"Anonymous Interview Candidate in Tempe, AZ",No Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Ford Motor Company (Tempe, AZ) in September 2018.","Submitted application online, had to complete several online tests that involved mathematics and general business related questions. Then received an email for a follow-up interview on campus the following week.",Why do you want to work for Ford? Â  Answer Question
"Nov 17, 2018",Applications Developer Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Ford Motor Company (Chennai (India)) in November 2018.,I was interviewed at chennai it is a one day process. Written Test on verbal and aptitude was conducted. later Tr& Hr for shortlisted people. People over there were very friendly.,"About bTech project,
Basics of DBMS and Java Â  Answer Question"
"Nov 15, 2018",Quality Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,"I met with two managers in the quality department. The interview took about an hour and a half. The two interviewers went back and forth from a list of preprepared questions. From my vantage point, they recorded highlights from my responses.",,Most of the questions were behavioral interview questions. Give a time when you experienced a difficult situation in your previous work experience. Â  1 Answer
"Nov 15, 2018",Solutions Architect Interview,"Anonymous Interview Candidate in Detroit, MI",No Offer,Negative Experience,Difficult Interview,"I applied through a recruiter. The process took 3 days. I interviewed at Ford Motor Company (Detroit, MI) in October 2018.","Interviewed by 3 non technical people who been 25 yrs in the company doing repairs (maybe) but understand new technology by discresion. They come with a set of very long questions (3-4 sections per question) and probably they are looking for certain words in the answer coz they listen to you dying in the long answer and then they switch to next without giving any impression. I told my recruiter not to present me to Ford again, I can't afford the feeling that my 20 yrs exp in IT, cloud, docker, Software, API get evaluated by someone fixing PCs, printers for 25 yrs waiting for good retirements while managing a future vehicle project. They are spoiled by the recruitment agency, by their feeding till retirement farm. If they like you through the hanging camera they will give you the job coz they don't understand/care about your answer.","Give by example a time you design a solution from scratch, how you follow design process to capture the requirements, specify in your example what goes wrong and if you will do it again what you will change to make it better? Â  1 Answer"
"Nov 9, 2018",IT Interview,"Anonymous Interview Candidate in Dearborn, MI",Declined Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 3+ months. I interviewed at Ford Motor Company (Dearborn, MI) in October 2018.",The interview started off with her just asking me some behavioral questions. She also asked me why I wanted to work for ford. Finally we did go over some of my preivous projects,4 object orianttated principles Â  Answer Question
"Nov 6, 2018",Manufacturing Interview,"Anonymous Interview Candidate in Minneapolis, MN",No Offer,Positive Experience,Easy Interview,"I applied online. The process took a week. I interviewed at Ford Motor Company (Minneapolis, MN) in October 2018.","The interviews were very nice, so nice it was hard to tell if the interview was going well or they were simply being nice. No technical questions were asked just character based and a hypothetical. This interview happened at the 2018 SWE conference in Minnesota, applied online a week prior and at the job fair at the conference I told someone at the both I had applied online and they gave me an interview immediately. An online test had to be completed before the interview could take place.",Tell me a little about yourself and while you're at it tell us why you want to work at Ford Â  Answer Question
"Nov 6, 2018",Senior Financial Analyst Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,Group problem solving test followed by individual discussion with the interview panel. Selected candidates will be considered for the next round which is general work place and HR related questions.,,"Budgeting, Standard Costing and HR related questions Â  1 Answer"
"Nov 6, 2018",Partnership Manager Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Negative Experience,Average Interview,"I applied online. The process took a week. I interviewed at Ford Motor Company (Dearborn, MI) in October 2018.","Pretty straightforward I submitted an application online through their career section. I received a response from an internal recruiter within a week. Here's where things had begun to take a turn for the worst. The initial screening was your typical ""HR grilling"" about your background and if it lines up with the role. My experience was a year off from the requirement and there was another requirement that they were willing to work with me on. Personally, this requirement was necessary to succeed in the role as I had the necessary domain experience. But this recruiter was petty and rejected me because I had a year less than the stated requirement in the job description. My issue was that before you contact a candidate you should already know if they have enough experience or not. This shouldn't be hard to grasp from an individual's resume. Rejecting me over something that is clearly shown in my resume is an utter waste of time, period. After I was given the bad news that I wouldn't be able to move forward in the process I altered them to another posting that was more up my alley. They agreed that I'd be a good fit for that role as well so they contacted their colleague and forwarded over my information. A week later I followed up on the new position that I made them aware of and the response that I got was weird. The recruiter acted as if they didn't know what I was talking about and said that I was still unable to advance. Basically, this person didn't keep their word about passing my information along. Recruiters at Ford are unprofessional, so keep that in mind when dealing with them.",Which job did you apply for? Â  Answer Question
"Nov 5, 2018",MPL Interview,"Anonymous Interview Candidate in Ann Arbor, MI",Declined Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Ford Motor Company (Ann Arbor, MI) in September 2018.",In person 30 minute behavioral interview after meeting the recruiter at the career fair. The in person interview was led by two different leaders from Ford. They were very interested and willing to share their experiences at Ford with me. IT was a very positive interview experience.,Why Ford? Â  1 Answer
"Oct 25, 2018",Intern Marketing Interview,Anonymous Interview Candidate,Declined Offer,Neutral Experience,Average Interview,I applied in-person. I interviewed at Ford Motor Company.,One interview for the interns. They got back to me fairly quickly. The interview took place on campus. They asked your standard interview type questions and took about a hour.,Decision making Â  Answer Question
"Oct 23, 2018",Pvt Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through a staffing agency. The process took 2 weeks. I interviewed at Ford Motor Company.,One phone interview with would be boss and a local supervisor. Passed that and then invited to in plant interview where I met the team I would be working with and toured the plant. Accepted offer shortly after,"If an operator couldn't seat a part, what would you do? Â  1 Answer"
"Oct 22, 2018",Data Scie Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,"phone screening,
presentation for hiring manager,
Ford talent center interview, rouge tour and had lunch at FTC in Dearborn

at the end I received a call and they said they want to continue with other candidate",,what is you strength? Â  Answer Question
"Oct 21, 2018",Ford College Graduate Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,"Interviewed by two people with 6 behavioral questions. Did not ask much about personal or background questions, just wanted to see how you would handle work like situations. Overall normal experience",,"Long behavioral/ situational questions. Looking for in depth, clever answers Â  Answer Question"
"Oct 20, 2018",IT Analyst Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I applied online. I interviewed at Ford Motor Company in March 2018.,No went on very well. It was through video conference and I could barely hear the questions. And it lasted for 1h and 30 minutes. I can feel it does not go on well.,"Describe IT Change management and how do you fix problem, give 1 example Â  1 Answer"
"Oct 19, 2018",Purchasing Interview,"Anonymous Interview Candidate in East Lansing, MI",No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Ford Motor Company (East Lansing, MI) in October 2018.","Applied online, spoke to recruiters at career fair, had an on campus interview. Spoke with a senior purchasing employee and a Ford College Graduate. They were both very nice and answered my questions very well.",Tell me about a time you used a technical skill to solve a problem in a simple way. Â  Answer Question
