Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Q
3 Jun 2019,"Anonymous Interview Candidate in Lake Mary, FL (US)",Senior Financial Analyst,No Offer,Negative Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Lake Mary, FL (US)) in April 2019.",Application,"Give me a time when you were given too little information to complete something, what did you do? Â  Answer Question"
8 Apr 2019,"Anonymous Interview Candidate in Harrisburg, PA (US)",Operations Manager,Declined Offer,Positive Experience,Average Interview,"I applied online. The process took a week. I interviewed at Verizon (Harrisburg, PA (US)) in April 2019.",Application,You'll want to be sure to focus your energy on safety Â  Answer Question
8 May 2019,"Anonymous Employee in Murfreesboro, TN (US)",Customer Service Representative,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Murfreesboro, TN (US)) in April 2019.",Application,Describe a difficult situation how did you handle it? Â  Answer Question
22 Apr 2019,"Anonymous Employee in Fayetteville, NC (US)",CSR,Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. The process took 8 weeks. I interviewed at Verizon (Fayetteville, NC (US)) in April 2019.",Application,My ambition Â  1 Answer
13 May 2019,"Anonymous Interview Candidate in Basking Ridge, NJ (US)",Marketing/PR,No Offer,Negative Experience,Average Interview,"I applied online. The process took 6+ weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in April 2019.",Application,Why Verizon? Â  Answer Question
29 Dec 2019,"Anonymous Employee in Folsom, CA (US)",BAM,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Folsom, CA (US)) in April 2019.",Application,Basic. What do you do now. What do you like about sales. How do you feel about a quota etc. Â  Answer Question
28 Mar 2019,"Anonymous Employee in New York, NY (US)",Marketing,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 4+ weeks. I interviewed at Verizon (New York, NY (US)).",Application,when was a time you had a different opinion than your boss Â  Answer Question
1 May 2019,"Anonymous Employee in Washington, DC (US)",Field Operations Manager,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 8+ weeks. I interviewed at Verizon (Washington, DC (US)) in March 2019.",Application,Tell me about a time when.... Â  Answer Question
4 Mar 2019,"Anonymous Interview Candidate in Tulsa, OK (US)",Entry Level Financial Analyst,No Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Verizon (Tulsa, OK (US)).",Application,Are you proficient in Microsoft Excel? Â  Answer Question
1 Mar 2019,Anonymous Interview Candidate,FLDP,No Offer,Neutral Experience,Average Interview,Applied online and then received an on-demand video interview. After not much longer it would have gone on to other interview processes. However the process was over for me at this point.,Application,Describe a way that you have been a leader. Â  Answer Question
27 Mar 2019,"Anonymous Interview Candidate in Lake Mary, FL (US)",Internal Audit,No Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 1 day. I interviewed at Verizon (Lake Mary, FL (US)) in March 2019.",Application,"They asked a question involving 8 homogenous balls, one heavier, a scale and asked to figure out which ball was the heaviest. Â  Answer Question"
29 May 2019,"Anonymous Interview Candidate in Paterson, NJ (US)",Finance Manager,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Paterson, NJ (US)) in March 2019.",Application,What is your strength? Â  Answer Question
16 Apr 2019,"Anonymous Interview Candidate in Atlanta, GA (US)",Solutions Specialist,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Atlanta, GA (US)) in March 2019.",Application,"Describe a time that you were criticized or coached about something that was outside of your comfort zone. Did you implement the advice, if so, how did it affect you? Â  Answer Question"
26 Sep 2019,"Anonymous Interview Candidate in New York, NY (US)",Project Manager,No Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (New York, NY (US)) in March 2019.",Application,Would you change your work style to accommodate the needs of someone else? Â  Answer Question
28 Feb 2019,"Anonymous Interview Candidate in New York, NY (US)",Technician,Declined Offer,Positive Experience,Easy Interview,"Easy basic questions, pretty much read from the book on how to ask questions. The person did seem very knowledgeable and helpful on what the company was about and what they could offer.",Application,5 year plan Â  Answer Question
30 Mar 2019,Anonymous Interview Candidate,Security Operations Analyst,Declined Offer,Positive Experience,Average Interview,I applied online. The process took a week. I interviewed at Verizon in March 2019.,Application,I was asked to describe a time when a policy or rule at work interfered with a task or project and how I dealt with that situation. Â  Answer Question
25 Feb 2019,Anonymous Employee,ROW Eng IV,Accepted Offer,Positive Experience,Easy Interview,I applied through a recruiter. I interviewed at Verizon.,Application,
23 Feb 2019,Anonymous Employee,Solutions Specialist,Accepted Offer,Negative Experience,Average Interview,"Phone interview, face to face, follow up with information. The interview was about 30 mins long in face to face and phone was about 1 hour long. They ask more questions on the phone than in person, which are very sales oriented.",Application,Can you sell anything Â  1 Answer
19 Feb 2019,Anonymous Employee,Sales Representative,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Describe a time when a customer was upset. What did you do to fix the issue. Â  Answer Question
10 Feb 2019,Anonymous Interview Candidate,Data Science,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,How do you keep up to date with technology? Â  Answer Question
6 Feb 2019,Anonymous Employee,Finance,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 4+ weeks. I interviewed at Verizon.,Application,Why do you want to work at Verizon? Â  Answer Question
1 Mar 2019,"Anonymous Interview Candidate in Raleigh, NC (US)",Solutions Engineer,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 5 days. I interviewed at Verizon (Raleigh, NC (US)) in February 2019.",Application,Why Verizon? Â  Answer Question
31 Jan 2019,Anonymous Interview Candidate,Internship,Declined Offer,Neutral Experience,Average Interview,"Video Interview through their system. Average difficulty can be a little strange because the questions are pre-recorded. Overall it was average, and along the lines of a normal interview.",Application,Tell me about yourself Â  Answer Question
11 Mar 2019,"Anonymous Interview Candidate in Cleveland, TN (US)",Solutions Specialist,No Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ weeks. I interviewed at Verizon (Cleveland, TN (US)) in February 2019.",Application,How did you find a solution to a problem you havenât faced before in your previous workplace. Â  Answer Question
12 Mar 2019,"Anonymous Interview Candidate in Dallas, TX (US)",Database Administrator,No Offer,Neutral Experience,Average Interview,"I applied through a recruiter. I interviewed at Verizon (Dallas, TX (US)) in February 2019.",Application,Are you AWS certified Â  1 Answer
26 Nov 2019,"Anonymous Interview Candidate in Edison, NJ (US)",Marketing,No Offer,Neutral Experience,Average Interview,"I applied through a recruiter. The process took 3 weeks. I interviewed at Verizon (Edison, NJ (US)) in February 2019.",Application,How do you get things done in a matrixed environment? Â  Answer Question
27 Jan 2019,Anonymous Interview Candidate,Product Software Development,No Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Verizon.,Application,Why are you interested in working at Verizon? Â  Answer Question
22 Jan 2019,Anonymous Interview Candidate,Intern - Hourly,No Offer,Positive Experience,Average Interview,I applied online. The process took a week. I interviewed at Verizon.,Application,Why Verizon? Â  1 Answer
15 Jan 2019,Anonymous Interview Candidate,Front End Developer,No Offer,Positive Experience,Difficult Interview,"I had an in person interview in Basking Ridge. I interviewers nice and they made it comfortable. They started with easy questions from HTML/CSS, JS and moved on to higher level questions about React",Application,Difference between a class and id? Â  Answer Question
15 Jan 2019,Anonymous Employee,Small Business Specialist,Accepted Offer,Positive Experience,Difficult Interview,I applied through a recruiter. I interviewed at Verizon.,Application,To describe a scenario where I would sell a product of theirs. Â  1 Answer
4 Jan 2019,"Anonymous Interview Candidate in South Plainfield, NJ (US)",Financial Modeling Analyst,No Offer,Positive Experience,Average Interview,"The process took 3+ weeks. I interviewed at Verizon (South Plainfield, NJ (US)).",Application,Analyze STAR format questions Â  Answer Question
10 Jan 2019,Anonymous Interview Candidate,Senior Manager,No Offer,Negative Experience,Easy Interview,I applied online. The process took a week. I interviewed at Verizon in January 2019.,Application,Q: Please let me know when you have 20-30 minutes available to speak. Â  Answer Question
24 Feb 2019,"Anonymous Interview Candidate in Lake Mary, FL (US)",SQL Data Analyst,No Offer,Neutral Experience,Average Interview,"I applied in-person. The process took 3+ weeks. I interviewed at Verizon (Lake Mary, FL (US)) in January 2019.",Application,Tell me a time when you have been innovative ? Â  Answer Question
17 Jan 2019,"Anonymous Employee in West Valley City, UT (US)",Business Customer Service Representative,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (West Valley City, UT (US)) in January 2019.",Application,I was asked to role play for several potential customer inquiries. Â  Answer Question
31 May 2019,"Anonymous Interview Candidate in Fresno, CA (US)",Retail Store Manager,Declined Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Verizon (Fresno, CA (US)) in January 2019.",Application,Was I a punctual person prone to illness What skills did I have that would help me in this position. Had I had trouble with my phone before Did I ever use another carrier. Had I ever been helped by a phone operator and then directed into a store before. How many employees has I supervised. Would I recommend any of their competition? NO! never. how did I rate theirâ¦Â  services. What was my knowledge with devices. Â  1 AnswerShow More
22 Feb 2019,"Anonymous Employee in New York, NY (US)",Instructional Designer,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (New York, NY (US)) in January 2019.",Application,What is the Addie model Â  1 Answer
27 Jan 2019,Anonymous Interview Candidate,Solutions Specialist,No Offer,Negative Experience,Average Interview,I applied through a recruiter. The process took 5 days. I interviewed at Verizon in January 2019.,Application,Name a time where you were presented with a challenge and how did you overcome it? Â  Answer Question
18 Feb 2019,"Anonymous Interview Candidate in Irvine, CA (US)",Data Analyst,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 5 days. I interviewed at Verizon (Irvine, CA (US)) in January 2019.",Application,Some SQL problem and my project experience Â  Answer Question
30 Jan 2019,"Anonymous Interview Candidate in Covington, GA (US)",Retail Sales Associate,No Offer,Neutral Experience,Average Interview,"I applied online. The process took a week. I interviewed at Verizon (Covington, GA (US)) in January 2019.",Application,General behavioral questions Â  Answer Question
26 Apr 2019,"Anonymous Interview Candidate in Tulsa, OK (US)",Network Engineer,No Offer,Negative Experience,Average Interview,"I applied through a recruiter. The process took 4+ months. I interviewed at Verizon (Tulsa, OK (US)) in January 2019.",Application,What experience do you have with provisioning orders and coordinating projects? Â  Answer Question
21 Mar 2019,"Anonymous Employee in Basking Ridge, NJ (US)",Project Program Management Consultant,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in January 2019.",Application,What applications are you familiar with? Â  Answer Question
20 Jun 2019,"Anonymous Interview Candidate in Basking Ridge, NJ (US)",Finance Leadership Development Program,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in January 2019.",Application,Why Verizon? Â  Answer Question
28 Jan 2019,"Anonymous Employee in San Jose, CA (US)",Finance Account Manager,Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. I interviewed at Verizon (San Jose, CA (US)) in January 2019.",Application,Tell us about your sales and account management experience before? Â  Answer Question
5 Feb 2019,"Anonymous Interview Candidate in Alpharetta, GA (US)",Data Scientist - Internal Audit,No Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Verizon (Alpharetta, GA (US)) in January 2019.",Application,What do you expect from management as a member of the team? Â  1 Answer
27 Dec 2018,Anonymous Employee,B2B Sales Representative,Accepted Offer,Positive Experience,,"It was a fairly intense interview process. The first step was an interview with the recruiter. Next was a panel interview that consists of the hiring manager, another sales manager, and sales reps. The next step was panel interview with directors and the final step was the interview with the regional vp. After the final interview, I got a verbal offer from recruiter. A week later I got a call to inform my background had cleared & I was good to go.",Application,Tell me a time when you made an upset customer a completely satisfied customer. Â  Answer Question
11 Dec 2018,Anonymous Interview Candidate,Software Engineering,No Offer,Neutral Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Verizon.,Application,"Simple behavioral questions(biggest weakness, why do you want to work here, etc..) Â  Answer Question"
4 Dec 2018,Anonymous Interview Candidate,Internship,No Offer,Positive Experience,Average Interview,"It was a lot of simple questions, but it was timed and you could not go back to redo any questions. I first received an email to do it within 96 hours and then it was a video interview with automated questions. You had 1 minute to prep for it.",Application,
4 Dec 2018,Anonymous Employee,FDLP,Accepted Offer,Positive Experience,Average Interview,Applied online in October and got an email the next day asking to do a video interview. Just received an email in December saying they would like to move onto the next steps and are reviewing my information to see if I am a match for any position. Has anyone else got this email??,Application,Behavioral questions Â  Answer Question
12 Jan 2019,"Anonymous Interview Candidate in West Valley City, UT (US)",Tech Support Representative,No Offer,Neutral Experience,Average Interview,"I applied online. The process took a week. I interviewed at Verizon (West Valley City, UT (US)) in December 2018.",Application,Pick 2 mobile operating systems and name differences between them Â  Answer Question
20 Dec 2018,"Anonymous Interview Candidate in Basking Ridge, NJ (US)",IT,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in December 2018.",Application,FizzBuzz Â  Answer Question
20 Dec 2018,"Anonymous Employee in Appleton, WI (US)",Solutions Specialist,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Appleton, WI (US)) in December 2018.",Application,How do you manage time and tasks? Â  Answer Question
21 Dec 2018,"Anonymous Employee in Phila, PA (US)",Operations Manager,Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. I interviewed at Verizon (Phila, PA (US)) in December 2018.",Application,What made me choose Verizon? Â  Answer Question
2 Mar 2019,"Anonymous Employee in Basking Ridge, NJ (US)",Human Resources Leadership Development Program,Accepted Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 5 weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in December 2018.",Application,What do you see the biggest challenges facing the industry/Verizon to be? Â  Answer Question
19 Jan 2020,"Anonymous Employee in Rolling Meadows, IL (US)",Customer Success Manager,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 4 weeks. I interviewed at Verizon (Rolling Meadows, IL (US)) in December 2018.",Application,Tell me about how you sold your largest deal (revenue)? Â  Answer Question
28 Nov 2018,Anonymous Employee,Software Developer,Accepted Offer,Positive Experience,Easy Interview,I applied through a recruiter. I interviewed at Verizon.,Application,Very casual conversation about the experience mentioned in the resume. They might have asked barely 5 questions and then asked if I would be able to have a face-to-face conversation and followed by a 2 week probation. That was it. Â  Answer Question
19 Nov 2018,Anonymous Interview Candidate,Project Manger,No Offer,Negative Experience,,I applied online. I interviewed at Verizon.,Application,They followed the start method. Â  Answer Question
19 Nov 2018,Anonymous Interview Candidate,Creative Technologist,No Offer,Neutral Experience,Average Interview,I applied through a recruiter. I interviewed at Verizon.,Application,Take-home React Exercise Â  Answer Question
19 Nov 2018,Anonymous Employee,MTS1 Software Engineer,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Verizon.,Application,"Basic questions on projects worked during college, and some of the challenges faces. Â  Answer Question"
18 Nov 2018,Anonymous Interview Candidate,Sr. Project Manager,No Offer,Negative Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Verizon.,Application,Regular interview questions - standard stuff Â  Answer Question
15 Nov 2018,Anonymous Employee,Programmer Analyst,Accepted Offer,Positive Experience,Average Interview,I had 2 interviews after the initial phone screen. I met at with them at the campus on two seperate occasions to discuss the position of the role and whether I was a good fit.,Application,Do you believe this position is a good fit for you? Â  1 Answer
11 Nov 2018,"Anonymous Employee in Huntsville, AL (US)",Customer Service Associate,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Verizon (Huntsville, AL (US)).",Application,"The interview questions are ones commonly asked by prospective employers. Such as, Why do you want to work at Verizon? What skills do you have that will add value to the company? How have you calmed a disgruntled customer in the past? Â  Answer Question"
6 Nov 2018,Anonymous Employee,Product Manager,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,What is your favorite product? Â  Answer Question
1 Jan 2019,"Anonymous Employee in Cary, NC (US)",Business Customer Service Representative,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Cary, NC (US)) in November 2018.",Application,"Was there every a situation that you had to assist a difficult customers, please explain how you assist the customer and what was the outcome? Â  1 Answer"
4 Nov 2018,Anonymous Employee,Project Manager,Accepted Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Mainly project and prior experience based questions and Management questions Â  Answer Question
2 Nov 2018,"Anonymous Interview Candidate in Houston, TX (US)",Solutions Specialist,No Offer,Negative Experience,Average Interview,"I applied online. I interviewed at Verizon (Houston, TX (US)).",Application,"Why Verizon?
What stood out about the Credo?
Role Play Â  Answer Question"
30 Nov 2018,"Anonymous Employee in Ann Arbor, MI (US)",Marketing,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2+ weeks. I interviewed at Verizon (Ann Arbor, MI (US)) in November 2018.",Application,Why Verizon Â  Answer Question
15 May 2019,Anonymous Employee,Finance,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 4+ weeks. I interviewed at Verizon in November 2018.,Application,Talk about a time you used your leadership skills Â  Answer Question
29 Oct 2018,Anonymous Employee,Ops,Accepted Offer,Neutral Experience,Average Interview,"Easy, straightforward, and typical. I had three individual interviews which included phone and two in-persons. Recruiting flubbed time and scheduling a couple times. Overall, pretty easy and straightforward.",Application,about myself Â  Answer Question
25 Oct 2018,Anonymous Employee,Customer Service,Accepted Offer,Positive Experience,Difficult Interview,I applied online. The process took 4+ weeks. I interviewed at Verizon.,Application,Tell me about a time you failed? Â  Answer Question
23 Oct 2018,Anonymous Interview Candidate,Verizon Connect â Software EngineeringOpportunities,Declined Offer,Positive Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Why work at Verizon for Software Engineering Â  1 Answer
14 Oct 2018,Anonymous Employee,Store Associate,Accepted Offer,Positive Experience,Average Interview,I applied in-person. The process took 4 weeks. I interviewed at Verizon.,Application,"Why this job?
Tell me about a time?
Sell me something. Â  Answer Question"
24 Oct 2018,"Anonymous Interview Candidate in Atlanta, GA (US)",Intern,No Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Atlanta, GA (US)) in October 2018.",Application,Tell us about your past experience ? Â  1 Answer
24 Oct 2018,"Anonymous Interview Candidate in Tampa, FL (US)",Customer Service Representative,Declined Offer,Positive Experience,Average Interview,"I applied online. The process took 1+ week. I interviewed at Verizon (Tampa, FL (US)) in October 2018.",Application,"Have you used the Verizon app on your phone? What kind of technology have you used, and how comfortable are you with technology? Describe a time when you weren't busy at your job, how did you use your time? Â  Answer Question"
15 Nov 2018,"Anonymous Employee in Alpharetta, GA (US)",Business Operations Coordinator,Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 4+ weeks. I interviewed at Verizon (Alpharetta, GA (US)) in October 2018.",Application,Why Do you want to work for Verizon? Â  Answer Question
1 Oct 2018,Anonymous Employee,Software Engineer(Internship),Accepted Offer,Positive Experience,Average Interview,Strictly behavioral. They ask you tons of questions on how to work in teams because everyone likes to see how you would work in the 300 teams there are. I believe that this is a great process because no one wants to work with someone that doesn't know how to work with you.,Application,How do you work in teams? Â  Answer Question
19 Oct 2018,Anonymous Interview Candidate,Software Engineering,No Offer,Negative Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at Verizon in October 2018.,Application,"If you and your peer working on a project have different ideas, how did you communicate and decide which one to implement Â  Answer Question"
18 Dec 2018,"Anonymous Interview Candidate in San Diego, CA (US)",Software,No Offer,Neutral Experience,Easy Interview,"I applied online. The process took 2+ months. I interviewed at Verizon (San Diego, CA (US)) in October 2018.",Application,"""describe a time where there was conflict in a project you were working on"" Â  Answer Question"
20 Oct 2018,"Anonymous Interview Candidate in Los Angeles, CA (US)",Business Sales Account Executive,No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Verizon (Los Angeles, CA (US)) in October 2018.",Application,Let's go through your resume. Â  Answer Question
20 Oct 2018,"Anonymous Interview Candidate in Los Altos, CA (US)",Sales,Declined Offer,Neutral Experience,Easy Interview,"I applied online. I interviewed at Verizon (Los Altos, CA (US)) in October 2018.",Application,Typical Â  Answer Question
26 Jan 2019,"Anonymous Employee in Basking Ridge, NJ (US)",FLDP,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 5 weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in October 2018.",Application,Describe a time you faced a challenge when working with a group of people. Â  Answer Question
23 Oct 2019,"Anonymous Interview Candidate in Boston, MA (US)",Retail Sales Associate,Declined Offer,Neutral Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Boston, MA (US)) in October 2018.",Application,"Education, past experience, etc Â  Answer Question"
6 Dec 2018,"Anonymous Interview Candidate in Rockville, MD (US)",Retail Sales Associate,No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Rockville, MD (US)) in October 2018.",Application,Role play of how you would sell a Verizon technology product. Show a sales pitch. Â  1 Answer
2 Nov 2018,"Anonymous Interview Candidate in Rolling Meadows, IL (US)",Customer Service Representative,No Offer,Neutral Experience,Easy Interview,"I applied online. The process took 6 days. I interviewed at Verizon (Rolling Meadows, IL (US)) in October 2018.",Application,Name one customer service obstacle and how you overcame it. Â  Answer Question
27 Apr 2019,"Anonymous Employee in Atlanta, GA (US)",Business Account Manager,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Atlanta, GA (US)) in October 2018.",Application,What in our company credo is most important to you? Â  1 Answer
12 Apr 2019,"Anonymous Employee in Basking Ridge, NJ (US)",Finance Leadership Development Program,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Verizon (Basking Ridge, NJ (US)) in October 2018.",Application,Why Verizon? Â  1 Answer
23 Oct 2018,"Anonymous Interview Candidate in Atlanta, GA (US)",Software Engineer(Internship),No Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Verizon (Atlanta, GA (US)) in October 2018.",Application,Why verizon Â  Answer Question
14 Oct 2018,Anonymous Interview Candidate,Verizon Connect Software Engineer,Declined Offer,Neutral Experience,,I applied online. The process took a week. I interviewed at Verizon in October 2018.,Application,Why Verizon Â  Answer Question
24 Jan 2020,"Anonymous Employee in Basking Ridge, NJ (US)",Principal Engineer,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in October 2018.",Application,What is something that motivates you to do better at work? Â  Answer Question
16 Sep 2018,Anonymous Employee,Java Developer,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 1+ week. I interviewed at Verizon.,Application,"Concentrate on Java Basics, threading and Postgres DB part if you know. AWS will be an added advantage as the company is moving with AWS. Â  1 Answer"
19 Sep 2018,Anonymous Employee,Customer Service Representative,Accepted Offer,Positive Experience,Average Interview,"The process took along time, they really want to make sure that they get the right people working for the company, they do 3 interviews. Two are phone interviews, and one in person.",Application,What are your long term goals with the company. Â  1 Answer
18 Sep 2018,"Anonymous Employee in Minot, ND (US)",Solutions Specialist,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took a week. I interviewed at Verizon (Minot, ND (US)).",Application,How i would feel working in a commission atmosphere. Â  1 Answer
13 Sep 2018,Anonymous Employee,Network Engineer,Accepted Offer,Positive Experience,Easy Interview,Phone screen with recruiter asking for interest. Phone meeting with manager and developer asking a mix of behaviorial and technical questions. The questions were fairly simple if you had a basic understanding of SQL and web development.,Application,What is indexing in databases? Â  1 Answer
12 Sep 2018,Anonymous Interview Candidate,Customer Service Representative,No Offer,Negative Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Behavorial STAR format questions Â  Answer Question
11 Sep 2018,Anonymous Employee,Customer Service Advocate,Accepted Offer,Positive Experience,,"After you apply youâll have a phone interview where the recruiter will ask you questions about your previous employment, theyâll also discuss Verizonâs core values and what they mean to you. Once you pass the phone interview youâll take an assessment and if you pass the assessment youâll interview face to face with someone",Application,Name a time you went above and beyond the call of duty Â  Answer Question
6 Sep 2018,Anonymous Employee,Solutions Specialist,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Verizon.,Application,How do you multitask Â  Answer Question
30 Aug 2018,"Anonymous Employee in Wilmington, NC (US)",Home Based Agent Customer Service Representative,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2+ weeks. I interviewed at Verizon (Wilmington, NC (US)).",Application,How did you handle a difficult customer? STAR format Â  Answer Question
3 Oct 2018,Anonymous Interview Candidate,Work From Home Customer Service Representative,No Offer,Negative Experience,Easy Interview,I applied online. The process took 3+ weeks. I interviewed at Verizon in September 2018.,Application,How long did you work for your last position? Â  Answer Question
5 Mar 2019,"Anonymous Interview Candidate in New York, NY (US)",IT Engineer,No Offer,Positive Experience,Average Interview,"I applied in-person. I interviewed at Verizon (New York, NY (US)) in September 2018.",Application,Do you prefer to work alone or on a team? Do work better under pressure or in a more relaxed work setting? Â  Answer Question
22 Sep 2018,"Anonymous Employee in Fort Walton Beach, FL (US)",Solutions Specialist,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ weeks. I interviewed at Verizon (Fort Walton Beach, FL (US)) in September 2018.",Application,Name a time where a customer was not happy and what did you do and what was the outcome? Â  Answer Question
17 Oct 2018,"Anonymous Interview Candidate in Basking Ridge, NJ (US)",FLDP,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in September 2018.",Application,What is one of your greatest strengths? Â  Answer Question
3 Nov 2018,Anonymous Interview Candidate,Tax,No Offer,Neutral Experience,Average Interview,I applied through a recruiter. I interviewed at Verizon in September 2018.,Application,behavior Â  Answer Question
6 Jan 2020,"Anonymous Interview Candidate in Portland, OR (US)",Event Coordinator,Declined Offer,Negative Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Portland, OR (US)) in September 2018.",Application,Do you use Verizon phone service Â  1 Answer
31 Aug 2018,Anonymous Employee,Customer Service Representative,Accepted Offer,Positive Experience,,I applied online. I interviewed at Verizon.,Application,Why did you apply for this position and what do you expect to get out of it? Â  Answer Question
21 Aug 2018,"Anonymous Employee in Irvine, CA (US)",Customer Service Representative,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Verizon (Irvine, CA (US)).",Application,"Greatest strength, greatest weakness. Tell me about a time you went above and beyond for a customer. Â  Answer Question"
21 Aug 2018,Anonymous Employee,Customer Service Supervisor,Accepted Offer,Negative Experience,Difficult Interview,I applied in-person. I interviewed at Verizon.,Application,
16 Aug 2018,Anonymous Interview Candidate,Contractor,No Offer,Positive Experience,Average Interview,I applied through a recruiter. I interviewed at Verizon.,Application,Easy questions Â  1 Answer
7 Aug 2018,Anonymous Employee,Sales Representative,Accepted Offer,Neutral Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at Verizon.,Application,What makes you think you can be successful in this current job Â  Answer Question
5 Sep 2018,"Anonymous Interview Candidate in Alpharetta, GA (US)",Client Solutions Executive,No Offer,Negative Experience,Average Interview,"I applied through other source. The process took a week. I interviewed at Verizon (Alpharetta, GA (US)) in August 2018.",Application,"Experience, basic Â  Answer Question"
8 Jun 2019,"Anonymous Employee in Ashburn, VA (US)",Network Engineer,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 6+ months. I interviewed at Verizon (Ashburn, VA (US)) in August 2018.",Application,"I just spoke on what I know my past experiences. They told me about the actual position, and the team building environment. It was pretty cut and dry, The management was very impressed with my background. It is a very difficult position for the average person. Â  Answer Question"
